
Overlap Results

Collection(s):	C5
# overlaps shown:	10
# genesets in collections:	16107
# genes in comparison (n):	20
# genes in universe (N):	42577

Gene Set Name	# Genes in Gene Set (K)	Description	# Genes in Overlap (k)	k/K	p-value	FDR q-value
HP_ABNORMALITY_OF_THE_ORBITAL_REGION	1623	Abnormality of the orbital region	8	0.0049	3.66E-7	5.9E-3
HP_MACROCEPHALY	440	Macrocephaly	5	0.0114	1.57E-6	1.01E-2
HP_ABNORMAL_EYELID_MORPHOLOGY	1369	Abnormal eyelid morphology	7	0.0051	1.88E-6	1.01E-2
HP_NEOPLASM_OF_THE_GENITOURINARY_TRACT	236	Neoplasm of the genitourinary tract	4	0.0169	4.16E-6	1.38E-2
HP_NEOPLASM	979	Neoplasm	6	0.0061	4.28E-6	1.38E-2
HP_RENAL_CELL_CARCINOMA	72	Renal cell carcinoma	3	0.0417	5.18E-6	1.39E-2
HP_ABNORMAL_FACIAL_SHAPE	1084	Abnormal facial shape	6	0.0055	7.67E-6	1.55E-2
GOCC_CATALYTIC_COMPLEX	1739	A protein complex which is capable of catalytic activity. [GOC:bhm, GOC:TermGenie, PMID:8077207]	7	0.0040	9.08E-6	1.55E-2
HP_ABNORMAL_PALATE_MORPHOLOGY	1152	Abnormal palate morphology	6	0.0052	1.08E-5	1.55E-2
HP_LANGUAGE_IMPAIRMENT	1156	Language impairment	6	0.0052	1.11E-5	1.55E-2


Gene/Gene Set Overlap Matrix

Entrez Gene Id	Gene Symbol	Gene Description	HP_ABNORMALITY_OF_THE_ORBITAL_REGION	HP_MACROCEPHALY	HP_ABNORMAL_EYELID_MORPHOLOGY	HP_NEOPLASM_OF_THE_GENITOURINARY_TRACT	HP_NEOPLASM	HP_RENAL_CELL_CARCINOMA	HP_ABNORMAL_FACIAL_SHAPE	GOCC_CATALYTIC_COMPLEX	HP_ABNORMAL_PALATE_MORPHOLOGY	HP_LANGUAGE_IMPAIRMENT
7030	TFE3	transcription factor binding to IGHM enhancer 3 [Source:HGNC Symbol;Acc:HGNC:11752]	HP_ABNORMALITY_OF_THE_ORBITAL_REGION	HP_MACROCEPHALY	HP_ABNORMAL_EYELID_MORPHOLOGY	HP_NEOPLASM_OF_THE_GENITOURINARY_TRACT	HP_NEOPLASM	HP_RENAL_CELL_CARCINOMA	HP_ABNORMAL_FACIAL_SHAPE		HP_ABNORMAL_PALATE_MORPHOLOGY	HP_LANGUAGE_IMPAIRMENT
259232	NALCN	sodium leak channel, non-selective [Source:HGNC Symbol;Acc:HGNC:19082]	HP_ABNORMALITY_OF_THE_ORBITAL_REGION	HP_MACROCEPHALY	HP_ABNORMAL_EYELID_MORPHOLOGY				HP_ABNORMAL_FACIAL_SHAPE		HP_ABNORMAL_PALATE_MORPHOLOGY	HP_LANGUAGE_IMPAIRMENT
894	CCND2	cyclin D2 [Source:HGNC Symbol;Acc:HGNC:1583]	HP_ABNORMALITY_OF_THE_ORBITAL_REGION	HP_MACROCEPHALY	HP_ABNORMAL_EYELID_MORPHOLOGY					GOCC_CATALYTIC_COMPLEX		HP_LANGUAGE_IMPAIRMENT
6392	SDHD	succinate dehydrogenase complex subunit D [Source:HGNC Symbol;Acc:HGNC:10683]	HP_ABNORMALITY_OF_THE_ORBITAL_REGION	HP_MACROCEPHALY		HP_NEOPLASM_OF_THE_GENITOURINARY_TRACT	HP_NEOPLASM	HP_RENAL_CELL_CARCINOMA		GOCC_CATALYTIC_COMPLEX	HP_ABNORMAL_PALATE_MORPHOLOGY	HP_LANGUAGE_IMPAIRMENT
8313	AXIN2	axin 2 [Source:HGNC Symbol;Acc:HGNC:904]	HP_ABNORMALITY_OF_THE_ORBITAL_REGION		HP_ABNORMAL_EYELID_MORPHOLOGY	HP_NEOPLASM_OF_THE_GENITOURINARY_TRACT	HP_NEOPLASM	HP_RENAL_CELL_CARCINOMA	HP_ABNORMAL_FACIAL_SHAPE	GOCC_CATALYTIC_COMPLEX		
6909	TBX2	T-box transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:11597]	HP_ABNORMALITY_OF_THE_ORBITAL_REGION		HP_ABNORMAL_EYELID_MORPHOLOGY		HP_NEOPLASM		HP_ABNORMAL_FACIAL_SHAPE		HP_ABNORMAL_PALATE_MORPHOLOGY	
221927	BRAT1	BRCA1 associated ATM activator 1 [Source:HGNC Symbol;Acc:HGNC:21701]	HP_ABNORMALITY_OF_THE_ORBITAL_REGION		HP_ABNORMAL_EYELID_MORPHOLOGY				HP_ABNORMAL_FACIAL_SHAPE		HP_ABNORMAL_PALATE_MORPHOLOGY	HP_LANGUAGE_IMPAIRMENT
9377	COX5A	cytochrome c oxidase subunit 5A [Source:HGNC Symbol;Acc:HGNC:2267]	HP_ABNORMALITY_OF_THE_ORBITAL_REGION		HP_ABNORMAL_EYELID_MORPHOLOGY					GOCC_CATALYTIC_COMPLEX		
2773	GNAI3	G protein subunit alpha i3 [Source:HGNC Symbol;Acc:HGNC:4387]		HP_MACROCEPHALY			HP_NEOPLASM		HP_ABNORMAL_FACIAL_SHAPE	GOCC_CATALYTIC_COMPLEX	HP_ABNORMAL_PALATE_MORPHOLOGY	HP_LANGUAGE_IMPAIRMENT
1316	KLF6	KLF transcription factor 6 [Source:HGNC Symbol;Acc:HGNC:2235]				HP_NEOPLASM_OF_THE_GENITOURINARY_TRACT	HP_NEOPLASM					
2768	GNA12	G protein subunit alpha 12 [Source:HGNC Symbol;Acc:HGNC:4380]								GOCC_CATALYTIC_COMPLEX		
1737	DLAT	dihydrolipoamide S-acetyltransferase [Source:HGNC Symbol;Acc:HGNC:2896]								GOCC_CATALYTIC_COMPLEX		
858	CAV2	caveolin 2 [Source:HGNC Symbol;Acc:HGNC:1528]										
4804	NGFR	nerve growth factor receptor [Source:HGNC Symbol;Acc:HGNC:7809]										
2241	FER	FER tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:3655]										
23214	XPO6	exportin 6 [Source:HGNC Symbol;Acc:HGNC:19733]										
26502	NARF	nuclear prelamin A recognition factor [Source:HGNC Symbol;Acc:HGNC:29916]										
1821	DRP2	dystrophin related protein 2 [Source:HGNC Symbol;Acc:HGNC:3032]										
57720	GPR107	G protein-coupled receptor 107 [Source:HGNC Symbol;Acc:HGNC:17830]										
22955	SCMH1	Scm polycomb group protein homolog 1 [Source:HGNC Symbol;Acc:HGNC:19003]										
